spN,sampleType,samples,algo,keys,collisions,stackingAvg,occupancyRate,occupancyRate_stddev
16777216,rand-80,3600,md5,3600,0,0,0,0
16777216,rand-80,3600,sha1,3600,0,0,0,0
16777216,rand-80,3600,fake,3599,1,1,0.0006,0.0167
16777216,rand-80,3600,ugly2,110,104,34,33,27
16777216,rand-80,30000,crc32,29967,33,1,0.0022,0.0332
16777216,rand-80,30000,md5,29980,20,1,0.0013,0.0258
16777216,rand-80,30000,sha1,29982,18,1,0.0012,0.0245
16777216,rand-80,30000,fake,29977,23,1,0.0015,0.0277
16777216,rand-80,30000,ugly2,128,119,251,234,228
16777216,rand-80,540000,crc32,531596,8335,1,0.0315,0.1258
16777216,rand-80,540000,md5,531470,8440,1,0.0319,0.127
16777216,rand-80,540000,sha1,531360,8556,1,0.0324,0.1277
16777216,rand-80,540000,fake,531537,8370,1,0.0317,0.1266
16777216,rand-80,540000,ugly2,137,132,4090,3942,4104
256,rand-800,40,crc32,35,5,1,0.2857,0.355
256,rand-800,40,md5,39,1,1,0.0513,0.1601
256,rand-800,40,sha1,36,4,1,0.2222,0.3187
256,rand-800,40,fake,38,2,1,0.1053,0.2263
256,rand-800,40,ugly2,26,10,1.4,0.9231,0.8115
4096,rand-800,60,crc32,60,0,0,0,0
4096,rand-800,60,md5,60,0,0,0,0
4096,rand-800,60,sha1,59,1,1,0.0339,0.1302
4096,rand-800,60,fake,60,0,0,0,0
4096,rand-800,60,ugly2,37,16,1.4,1.1,0.8284
4096,rand-800,600,crc32,558,41,1,0.1487,0.2708
4096,rand-800,600,md5,565,32,1.1,0.1186,0.2624
4096,rand-800,600,sha1,560,39,1,0.1411,0.2646
4096,rand-800,600,fake,550,47,1.1,0.1764,0.3061
4096,rand-800,600,ugly2,65,60,8.9,9.2,6.5
4096,rand-800,1800,crc32,1503,274,1.1,0.3799,0.4351
4096,rand-800,1800,md5,1482,275,1.2,0.4001,0.4804
4096,rand-800,1800,sha1,1448,307,1.1,0.4551,0.5073
4096,rand-800,1800,fake,1453,288,1.2,0.437,0.5276
4096,rand-800,1800,ugly2,71,66,26,25,19
65536,rand-800,80,crc32,80,0,0,0,0
65536,rand-800,80,md5,80,0,0,0,0
65536,rand-800,80,sha1,80,0,0,0,0
65536,rand-800,80,fake,80,0,0,0,0
65536,rand-800,80,ugly2,38,23,1.8,1.7,1.2
65536,rand-800,800,crc32,796,4,1,0.0101,0.0708
65536,rand-800,800,md5,796,4,1,0.0101,0.0708
65536,rand-800,800,sha1,795,5,1,0.0126,0.0791
65536,rand-800,800,fake,797,2,1.5,0.0063,0.0792
65536,rand-800,800,ugly2,73,67,11,11,7.4
65536,rand-800,2400,crc32,2362,38,1,0.0322,0.1258
65536,rand-800,2400,md5,2357,43,1,0.0365,0.1339
65536,rand-800,2400,sha1,2356,44,1,0.0374,0.1354
65536,rand-800,2400,fake,2354,43,1.1,0.0378,0.1474
65536,rand-800,2400,ugly2,86,81,29,28,22
65536,rand-800,20000,crc32,17440,2366,1.1,0.2825,0.3849
65536,rand-800,20000,md5,17202,2505,1.1,0.3083,0.4162
65536,rand-800,20000,sha1,17235,2492,1.1,0.305,0.4113
65536,rand-800,20000,fake,17247,2486,1.1,0.3038,0.4102
65536,rand-800,20000,ugly2,95,91,219,210,186
1048576,rand-800,100,crc32,100,0,0,0,0
1048576,rand-800,100,md5,100,0,0,0,0
1048576,rand-800,100,sha1,100,0,0,0,0
1048576,rand-800,100,fake,100,0,0,0,0
1048576,rand-800,100,ugly2,49,28,1.8,1.6,1.3
1048576,rand-800,1000,crc32,1000,0,0,0,0
1048576,rand-800,1000,md5,1000,0,0,0,0
1048576,rand-800,1000,sha1,1000,0,0,0,0
1048576,rand-800,1000,fake,1000,0,0,0,0
1048576,rand-800,1000,ugly2,90,80,11,11,8.5
1048576,rand-800,3000,crc32,2997,3,1,0.002,0.0316
1048576,rand-800,3000,md5,2995,5,1,0.0033,0.0408
1048576,rand-800,3000,sha1,2995,5,1,0.0033,0.0408
1048576,rand-800,3000,fake,2998,2,1,0.0013,0.0258
1048576,rand-800,3000,ugly2,97,90,32,31,24
1048576,rand-800,25000,crc32,24728,269,1,0.0219,0.1055
1048576,rand-800,25000,md5,24688,310,1,0.0252,0.1124
1048576,rand-800,25000,sha1,24719,279,1,0.0227,0.1068
1048576,rand-800,25000,fake,24715,283,1,0.023,0.1075
1048576,rand-800,25000,ugly2,109,106,235,229,209
1048576,rand-800,450000,crc32,370121,70377,1.1,0.406,0.4745
1048576,rand-800,450000,md5,366059,72832,1.2,0.4283,0.4943
1048576,rand-800,450000,sha1,365867,72823,1.2,0.429,0.4959
1048576,rand-800,450000,fake,365941,72825,1.2,0.4287,0.4951
1048576,rand-800,450000,ugly2,120,119,3781,3750,3746
16777216,rand-800,120,crc32,120,0,0,0,0
16777216,rand-800,120,md5,120,0,0,0,0
16777216,rand-800,120,sha1,120,0,0,0,0
16777216,rand-800,120,fake,120,0,0,0,0
16777216,rand-800,120,ugly2,62,33,1.8,1.5,1.2
16777216,rand-800,1200,crc32,1200,0,0,0,0
16777216,rand-800,1200,md5,1200,0,0,0,0
16777216,rand-800,1200,sha1,1200,0,0,0,0
16777216,rand-800,1200,fake,1200,0,0,0,0
16777216,rand-800,1200,ugly2,96,85,13,12,9.1
16777216,rand-800,3600,crc32,3600,0,0,0,0
16777216,rand-800,3600,md5,3600,0,0,0,0
16777216,rand-800,3600,sha1,3600,0,0,0,0
16777216,rand-800,3600,fake,3600,0,0,0,0
16777216,rand-800,3600,ugly2,113,101,35,32,28
16777216,rand-800,30000,crc32,29974,26,1,0.0017,0.0294
16777216,rand-800,30000,md5,29975,25,1,0.0017,0.0289
16777216,rand-800,30000,sha1,29977,23,1,0.0015,0.0277
16777216,rand-800,30000,fake,29979,21,1,0.0014,0.0265
16777216,rand-800,30000,ugly2,125,119,251,240,229
16777216,rand-800,540000,crc32,531641,8281,1,0.0313,0.1256
16777216,rand-800,540000,md5,531570,8343,1,0.0316,0.1262
16777216,rand-800,540000,sha1,531470,8439,1,0.0319,0.127
16777216,rand-800,540000,fake,531337,8561,1,0.0324,0.1281
16777216,rand-800,540000,ugly2,137,134,4029,3942,4103
